MAL_ID,Name,Score,Genres,English_name,Type,Episodes,Aired,Premiered,Studios,Source,Ranked,Popularity,Themes,Synopsis
12753,Phi Brain: Kami no Puzzle - Orpheus Order-hen,7.29,"Action, Game, Mystery, Shounen",Phi-Brain ~ Puzzle of God:The Orpheus Order,TV,25,"Apr 8, 2012 to Sep 23, 2012",Spring 2012,Sunrise,Original,2398,2412,,
3791,Air Gear Special,7.31,"Sports, Shounen",Air Gear:Special Trick,Special,1,"Mar 21, 2007",Unknown,Toei Animation,Manga,2294,2413,,
417,Ragnarök The Animation,6.47,"Action, Magic, Fantasy",Ragnarok the Animation,TV,26,"Apr 7, 2004 to Sep 29, 2004",Spring 2004,G&G Entertainment,Game,6033,2414,,
476,Ginban Kaleidoscope,7.34,"Sports, Supernatural, Drama, Romance",Skating Rink Kaleidoscope,TV,12,"Oct 9, 2005 to Dec 25, 2005",Fall 2005,Karaku,Light novel,2151,2415,,
596,Chobits: Chibits,7.0,"Romance, Comedy",Chobits:Chibits - Sumomo and Kotoko Deliver,Special,1,"Jun 27, 2003",Unknown,Madhouse,Manga,3627,2416,,
18495,Kitakubu Katsudou Kiroku,6.78,"Comedy, School, Slice of Life",Chronicles of the Going Home Club,TV,12,"Jul 5, 2013 to Oct 11, 2013",Summer 2013,Nomad,Manga,4532,2417,,
33075,Musaigen no Phantom World: Mizutama no Kiseki,6.8,"Action, Comedy, Supernatural, Fantasy",Myriad Colors Phantom World Special,Special,1,"Oct 5, 2016",Unknown,Kyoto Animation,Light novel,4448,2418,,
38295,Joshikausei,5.76,"Comedy, School, Slice of Life",Joshi Kausei,TV,12,"Apr 6, 2019 to Jun 22, 2019",Spring 2019,Seven,Web manga,8971,2419,,
2142,Blue Dragon,6.41,"Adventure, Comedy, Fantasy, Supernatural",Unknown,TV,51,"Apr 7, 2007 to Mar 29, 2008",Spring 2007,Studio Pierrot,Game,6361,2420,,
14669,Aura: Maryuuin Kouga Saigo no Tatakai,7.49,"Supernatural, Drama, Romance, School",Aura:Koga Maryuin,Movie,1,"Apr 13, 2013",Unknown,AIC ASTA,Light novel,1606,2421,,
32915,Durarara!!x2 Ketsu: Dufufufu!!,7.59,"Action, Mystery, Supernatural",Durarara!! x2 Ketsu:Dufufufu!!,Special,1,"Jul 27, 2016",Unknown,Shuka,Light novel,1299,2422,,
6645,Chu-Bra!!,6.23,"Ecchi, Comedy, School, Seinen",Chu-Bra,TV,12,"Jan 4, 2010 to Mar 22, 2010",Winter 2010,Zexcs,Manga,7189,2423,,
31756,Owari no Seraph: The Beginning of the End,7.16,"Action, Drama, Shounen, Supernatural, Vampire",Seraph of the End:The Beginning of the End,Special,1,"Oct 3, 2015",Unknown,Wit Studio,Manga,2957,2424,,
290,Seikai no Monshou,7.69,"Action, Military, Sci-Fi, Space, Romance",Crest of the Stars,TV,13,"Jan 3, 1999 to Mar 28, 1999",Winter 1999,Sunrise,Light novel,1046,2425,,
19191,Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.52,"Sci-Fi, Police, Psychological, Mecha",Ghost in the Shell:Arise - Border 2:Ghost Whispers,Movie,1,"Nov 30, 2013",Unknown,Production I.G,Manga,1533,2426,,
8465,Ichiban Ushiro no Daimaou Specials,6.74,"Comedy, Ecchi, Fantasy, Magic, Shounen",Unknown,Special,6,"Jun 25, 2010 to Nov 25, 2010",Unknown,Artland,Unknown,4716,2427,,
6467,Detective Conan Movie 14: The Lost Ship in the Sky,8.15,"Action, Mystery, Police, Shounen",Unknown,Movie,1,"Apr 17, 2010",Unknown,Tokyo Movie Shinsha,Manga,359,2428,,
9539,Cardfight!! Vanguard,7.04,"Action, Game, Adventure, Demons, Shounen",Cardfight!! Vanguard,TV,65,"Jan 8, 2011 to Mar 31, 2012",Winter 2011,TMS Entertainment,Original,3481,2429,,
1218,Tonagura!,6.73,"Comedy, Drama, Ecchi, Romance, School",Unknown,TV,13,"Jul 9, 2006 to Oct 1, 2006",Summer 2006,Daume,Manga,4743,2430,,
1506,Detective Conan Movie 10: Requiem of the Detectives,8.08,"Adventure, Comedy, Mystery, Police, Shounen",Unknown,Movie,1,"Apr 15, 2006",Unknown,TMS Entertainment,Manga,439,2431,,
443,Onegai☆Teacher: Himitsu na Futari,7.32,"Comedy, Ecchi, Romance, Sci-Fi",Unknown,OVA,1,"Oct 25, 2002",Unknown,Daume,Original,2262,2432,,
19669,Kuroko no Basket: Baka ja Katenai no yo!,7.58,"Sports, Comedy, School, Shounen",Kuroko,OVA,1,"Dec 4, 2013",Unknown,Production I.G,Unknown,1339,2433,,
40206,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,7.21,"Action, Supernatural, Magic, Fantasy",Unknown,Special,1,"Aug 4, 2019",Unknown,CloverWorks,Game,2737,2434,,
